Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
223,0.0283833,0.0336731,0.0234924,0.0268622,0.0432313,0.0328002,0.0904145,0.0168314,0.0276035,0.0188811,0.00676032,0.0329293,0.0348197,0.00922368,0.0116798,0.0181932,0.0280819,0.0276484,0.0302957,0.0161285,0.0284214,0.055308,0.0476259,0.0208808,0.0765039,0.0187352,0.0213014,0.0323643,0.011014,0.0290103,0.0470615,0.00957491,0.018864,0.0295532,0.0294236,0.022846,0.0231794,0.0337458,0.0233121
224,0.0282236,0.0336091,0.023139,0.0251432,0.0421685,0.0339773,0.0895535,0.0170752,0.0284556,0.01847,0.00651903,0.0335394,0.0351106,0.00944079,0.0120094,0.0179217,0.0294358,0.0282449,0.0307123,0.0165591,0.0295078,0.0550261,0.0477888,0.0208889,0.0767206,0.0182472,0.0215033,0.0319276,0.0109771,0.0291585,0.0468901,0.0103257,0.01874,0.0285043,0.0299676,0.0228464,0.0234625,0.034375,0.0230863
225,0.0280045,0.0334612,0.0227,0.0239585,0.0411162,0.035191,0.0886751,0.0173466,0.029101,0.0179005,0.00640542,0.0341409,0.0352568,0.00957606,0.0123054,0.0175933,0.0307727,0.0288483,0.031358,0.0169814,0.0295989,0.0546779,0.0477605,0.020918,0.0768434,0.0179123,0.0218337,0.0314893,0.0108348,0.0294802,0.0465229,0.0110636,0.0184946,0.027148,0.030344,0.0229591,0.0235627,0.0350871,0.0228425
226,0.0277903,0.0332573,0.0221956,0.0234091,0.0400947,0.0363911,0.0877519,0.0176055,0.0295416,0.017336,0.00641232,0.0345957,0.035425,0.00976516,0.0125137,0.0174288,0.0320738,0.0293334,0.0317952,0.0173773,0.0293819,0.0543158,0.0475594,0.0210006,0.0768797,0.0177052,0.0220267,0.0309481,0.0107145,0.0296785,0.0460314,0.0117899,0.0182782,0.0259927,0.0306296,0.0228727,0.0235684,0.035435,0.022584
227,0.027581,0.0330219,0.0216651,0.0228987,0.0391151,0.0373069,0.0868242,0.0177876,0.0299294,0.017052,0.00656027,0.0349031,0.0355111,0.0101122,0.0126369,0.0171114,0.0333228,0.0297017,0.0320968,0.0177308,0.0295809,0.0538963,0.0472155,0.0209922,0.0768797,0.0175957,0.0221262,0.0302771,0.0108121,0.0294723,0.0454152,0.0124221,0.0180864,0.0249736,0.0309212,0.0227676,0.0235378,0.0354297,0.0223438
228,0.0273962,0.0327202,0.0210744,0.0224195,0.0381614,0.0380896,0.0859021,0.0179894,0.0303042,0.0164502,0.00680523,0.0351775,0.0354656,0.0106317,0.012668,0.016611,0.0344871,0.0299854,0.0322738,0.0178995,0.0299419,0.053393,0.0467959,0.0208921,0.0768623,0.017573,0.022236,0.0295772,0.0111181,0.0290843,0.0446407,0.0129629,0.017844,0.0241136,0.0309844,0.0226703,0.0234967,0.0352159,0.0221984
229,0.0272484,0.0323898,0.0204948,0.0222313,0.0372503,0.0389396,0.0849748,0.0184307,0.030582,0.0157424,0.00709238,0.0354692,0.0354266,0.0112419,0.0126349,0.016057,0.0355381,0.0302377,0.0323544,0.0179528,0.030282,0.0528608,0.0463516,0.020751,0.0768087,0.0176069,0.0223691,0.028927,0.0115181,0.0289933,0.0437643,0.0134631,0.0173584,0.0234826,0.0308026,0.0226046,0.0234603,0.034814,0.0221825
230,0.0271526,0.0319853,0.019944,0.0221912,0.0364035,0.0398173,0.0840619,0.0188484,0.0307744,0.0151768,0.00732998,0.0357772,0.0354098,0.0120502,0.0126112,0.0156882,0.0364636,0.0304823,0.0323525,0.0183871,0.0306002,0.0523476,0.0458935,0.0205783,0.0767426,0.0176862,0.0224925,0.0284203,0.0119816,0.0288304,0.042878,0.0138843,0.016714,0.0233208,0.0304308,0.02254,0.0234198,0.0342073,0.022204
231,0.0270743,0.0315503,0.0195484,0.022202,0.0356757,0.0406599,0.0831826,0.0192045,0.0308963,0.0146644,0.00748122,0.0360961,0.0353667,0.0130547,0.0127055,0.0153267,0.0372239,0.0306973,0.0323313,0.0189964,0.030859,0.0517847,0.0454337,0.0203771,0.0767168,0.0177854,0.0225435,0.0279692,0.0125732,0.0284841,0.0419788,0.0141845,0.0159995,0.023534,0.0299286,0.0224693,0.0232603,0.0333992,0.0222792
232,0.0269648,0.0310718,0.0194742,0.022347,0.0350198,0.0414311,0.0823516,0.0195905,0.0309711,0.0142576,0.007627,0.0363993,0.0352541,0.0141579,0.0128919,0.0149379,0.0378153,0.0309095,0.0323116,0.0196761,0.0308918,0.0511312,0.0450035,0.0201485,0.0767516,0.0178299,0.0225374,0.0274806,0.0132356,0.0281074,0.0409879,0.014347,0.0153819,0.023995,0.0293098,0.0224122,0.0230667,0.0324745,0.0225186
233,0.0268244,0.0305981,0.0193416,0.0226828,0.0344618,0.0420347,0.0815599,0.0200425,0.0309957,0.0139577,0.00770462,0.036622,0.0351921,0.0152012,0.0130647,0.0145537,0.0382186,0.0311265,0.0322513,0.0203743,0.0306956,0.0504057,0.0446819,0.019903,0.0767816,0.0179481,0.0224986,0.0271701,0.0138829,0.0278743,0.0399653,0.0144037,0.0145192,0.0246098,0.0285712,0.0224037,0.0228714,0.031496,0.0229881
234,0.0266077,0.0300908,0.019128,0.0231114,0.0339944,0.0425082,0.0808267,0.0204591,0.0309368,0.0136959,0.00759326,0.036784,0.0350835,0.0161419,0.0131705,0.0141371,0.0384456,0.0313104,0.0321191,0.0211045,0.0309097,0.0496129,0.0444286,0.0196477,0.0768135,0.0183724,0.0224487,0.0270291,0.0144594,0.0277908,0.038811,0.0143973,0.0137334,0.0253207,0.0277668,0.0224349,0.0227179,0.0305047,0.0236323
235,0.0263257,0.0295978,0.0188948,0.0235448,0.0335888,0.0428761,0.0801358,0.0207947,0.0308204,0.0134994,0.0074551,0.0369078,0.0348922,0.0169586,0.0131694,0.0136801,0.0385319,0.0315301,0.031942,0.0217244,0.0313961,0.0487668,0.0442347,0.0193939,0.076885,0.0187024,0.0223949,0.0267843,0.0148944,0.0277893,0.0376338,0.0143596,0.0132245,0.0260855,0.0269441,0.0224761,0.0225877,0.0295991,0.0244177
236,0.0259718,0.0290907,0.0186081,0.024086,0.0332962,0.0431293,0.0794861,0.0211919,0.0306615,0.013359,0.00729344,0.0369853,0.0347389,0.0176335,0.0130988,0.0133617,0.0385252,0.0317771,0.0317257,0.0220525,0.0318589,0.0478735,0.0441112,0.0191233,0.0770404,0.0189471,0.0223569,0.0264141,0.015055,0.0277598,0.0364871,0.0142705,0.0130932,0.0265243,0.0261288,0.0225191,0.0224654,0.0288602,0.0253068
237,0.025585,0.0285938,0.0182724,0.024629,0.0331035,0.0432797,0.0788536,0.0216465,0.0304059,0.0132434,0.00715209,0.0370249,0.0346413,0.0181557,0.0130233,0.0133249,0.0384914,0.0317758,0.0314363,0.0220955,0.0322842,0.046965,0.0440747,0.0188828,0.0771603,0.0191605,0.0223566,0.0259675,0.0147748,0.02769,0.0354227,0.0140958,0.013475,0.0265888,0.0253571,0.022521,0.0224264,0.0284401,0.026279
238,0.0251973,0.0281358,0.017933,0.0251008,0.0330046,0.0433727,0.0782723,0.0221362,0.0300524,0.0130609,0.00712371,0.0370457,0.0345552,0.0185676,0.0130775,0.0132674,0.0384384,0.0316626,0.0311719,0.0217725,0.03269,0.0461451,0.0440674,0.0186095,0.0773416,0.0194006,0.0223877,0.0252324,0.0139501,0.0274986,0.0344813,0.0134951,0.0142464,0.0262187,0.0246447,0.0223954,0.0224574,0.028356,0.0272487
239,0.024813,0.0276698,0.017693,0.025509,0.0329152,0.0434185,0.0778408,0.0225835,0.0298026,0.0129261,0.00727614,0.0371206,0.0344649,0.0189525,0.0134058,0.0131652,0.0384334,0.0316517,0.0311117,0.0208976,0.0329577,0.0454789,0.0440911,0.018382,0.0775878,0.0196879,0.0224605,0.0243648,0.0124602,0.0272681,0.0335445,0.0126548,0.0152724,0.0253796,0.024014,0.0222624,0.0223928,0.0285057,0.0281444
240,0.0245099,0.0271946,0.0174704,0.0258231,0.0329122,0.0433529,0.0775306,0.0229774,0.0295673,0.0126956,0.00764713,0.0372686,0.0343111,0.0193986,0.0137698,0.0131795,0.0385194,0.031874,0.0310354,0.0192858,0.0329665,0.0449754,0.0441396,0.018162,0.0778912,0.0199854,0.0225308,0.0233384,0.0102535,0.0270436,0.0326421,0.0115121,0.0165099,0.0237844,0.0234996,0.02215,0.0223658,0.0289221,0.0288938
241,0.0242606,0.0267607,0.0172301,0.0260191,0.0329243,0.0432571,0.0773019,0.0234127,0.0291924,0.0125175,0.00818961,0.0375148,0.0341626,0.0199172,0.0140378,0.0133548,0.0386661,0.0320751,0.0308907,0.0173652,0.0328814,0.0445878,0.0442244,0.0179201,0.0782209,0.0202214,0.0225605,0.0220256,0.00725818,0.0268094,0.0319678,0.0100327,0.0178507,0.0211276,0.0231571,0.0222212,0.0224164,0.0298139,0.0294765
