Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
954,0.0272972,0.0297649,0.0104423,0.0354824,0.0275093,0.02878,0.0433587,0.0334807,0.0447541,0.0131061,0.0114521,0.0449058,0.0294296,0.024843,0.0176732,0.0347274,0.0418097,0.0305906,0.0262358,0.0129632,0.0393966,0.0346224,0.0107099,0.0368666,0.0567354,0.0292544,0.0181765,0.0126273,0.0295486,0.025243,0.0065098,0.0208466,0.0142616,0.0180703,0.0266598,0.0329621,0.0393194,0.0269306,0.0311887
955,0.0273239,0.0298277,0.0101164,0.0355718,0.028188,0.0287339,0.0442216,0.0341931,0.0448859,0.0141239,0.0109644,0.0447489,0.0295405,0.024264,0.0176494,0.0368854,0.0424268,0.0303062,0.0258815,0.0133617,0.0393087,0.0349549,0.0107492,0.0374167,0.05652,0.0292672,0.0178065,0.0126047,0.0296629,0.0252364,0.00746014,0.0203663,0.0141771,0.0180071,0.0267633,0.0327781,0.038876,0.0265881,0.0312544
956,0.0273333,0.0299289,0.00981034,0.0357045,0.028908,0.0287078,0.0451742,0.0348232,0.045174,0.0150937,0.0105336,0.0445232,0.0297106,0.0236152,0.0174473,0.0386346,0.0430434,0.0300497,0.0255492,0.0137152,0.0392712,0.0353069,0.0107125,0.0380044,0.056189,0.0293101,0.0175249,0.0127217,0.0298039,0.0251584,0.00851069,0.0202812,0.0140168,0.017927,0.0268864,0.0324715,0.0383922,0.0261643,0.0313872
957,0.0272741,0.0300684,0.00970617,0.0358448,0.029631,0.0286876,0.0461364,0.0353594,0.0456612,0.0160846,0.0100487,0.0443018,0.0297534,0.0229203,0.0170092,0.0398491,0.0436642,0.0298393,0.0254192,0.0140786,0.0392321,0.0357185,0.0106119,0.0386475,0.0557739,0.0293785,0.0173619,0.0129482,0.0299335,0.0251712,0.00949665,0.0205891,0.0138594,0.0178149,0.027048,0.032036,0.0378811,0.0256882,0.0315679
958,0.0272501,0.0301641,0.00986939,0.0360093,0.0302892,0.0286477,0.0470697,0.0358537,0.0461869,0.0171629,0.00920304,0.0440494,0.0295523,0.0218336,0.0165569,0.0404642,0.0442881,0.0296871,0.0254979,0.0142828,0.0391248,0.0361333,0.0105032,0.0393054,0.0553209,0.0294055,0.0172594,0.0133106,0.0300118,0.0251301,0.0102201,0.021314,0.0138256,0.0177223,0.0272642,0.0315596,0.0373636,0.0251838,0.0317295
959,0.0272588,0.0302675,0.0103754,0.0362786,0.0308968,0.0285685,0.0479638,0.0363621,0.0467514,0.0182963,0.00795717,0.0434496,0.029315,0.0206738,0.0163604,0.040505,0.0449023,0.0295936,0.0256161,0.0144443,0.0389563,0.036535,0.0104606,0.039983,0.0548305,0.0294524,0.0172562,0.0137649,0.0300119,0.0249637,0.0105272,0.0222507,0.0136978,0.0176201,0.0275555,0.0313189,0.0368752,0.0246804,0.0318396
960,0.027375,0.0303178,0.0113408,0.0366733,0.0314832,0.0284441,0.0488813,0.0368761,0.0473653,0.0196055,0.00638114,0.0428678,0.0291492,0.0194398,0.0163705,0.0398805,0.0454803,0.0295134,0.0257727,0.0145387,0.0387452,0.0369646,0.0105275,0.0406903,0.0542864,0.0295819,0.0173473,0.0142338,0.0299644,0.0248299,0.0103636,0.023372,0.0134915,0.0175039,0.027744,0.0310557,0.0363776,0.0241927,0.0318554
961,0.027532,0.0303007,0.0127849,0.0372514,0.0320472,0.0282622,0.0497379,0.0373649,0.0480118,0.0209409,0.00454232,0.0423626,0.0290746,0.0181068,0.0168129,0.038374,0.0459982,0.0293562,0.0259422,0.0145324,0.0384911,0.0373652,0.0107181,0.0414161,0.0536523,0.0297766,0.0171285,0.0147038,0.0299129,0.0246938,0.00985607,0.0244093,0.0132322,0.0175222,0.0279119,0.0305159,0.035905,0.0238129,0.0317434
962,0.0276578,0.0302571,0.0146735,0.0378502,0.0325443,0.0280043,0.0505029,0.0378289,0.0486552,0.0220196,0.00294447,0.0418167,0.0291063,0.0168421,0.01739,0.0356527,0.0464625,0.0291106,0.0261462,0.014521,0.0381704,0.0377562,0.0110431,0.0421523,0.0529573,0.0300438,0.0165872,0.0151561,0.0299723,0.0244829,0.00929061,0.0251618,0.0129693,0.017662,0.0279467,0.0300498,0.0354815,0.0235446,0.0315413
963,0.0277566,0.0302067,0.0168148,0.0384226,0.0329903,0.0276726,0.0512376,0.0382622,0.0491706,0.022504,0.00282644,0.0412306,0.0292158,0.0158404,0.0180567,0.0321057,0.0468609,0.0290387,0.0264546,0.0145826,0.037769,0.0381614,0.0114831,0.0428684,0.0523501,0.030396,0.0161572,0.0155301,0.0301421,0.0241865,0.00900681,0.0254099,0.0127392,0.0178572,0.0278305,0.0297173,0.0350962,0.0233899,0.0312331
964,0.0278034,0.0301718,0.0187582,0.0389728,0.0334241,0.0271624,0.0519807,0.038798,0.049573,0.0227601,0.00412295,0.0406234,0.0294122,0.0150975,0.0189422,0.0293492,0.0472069,0.0287792,0.0268354,0.014586,0.0372816,0.0385952,0.0120299,0.0435992,0.0517354,0.0306211,0.0158972,0.0157482,0.0303878,0.0237545,0.00918607,0.0251311,0.0125286,0.0180347,0.0279341,0.0294189,0.0347625,0.0233569,0.0307769
965,0.0277991,0.0301927,0.0204887,0.0395883,0.0338628,0.0264598,0.0526654,0.039497,0.0498289,0.0236298,0.005726,0.0400126,0.0298126,0.0143744,0.0193745,0.0289958,0.0475611,0.028334,0.0271653,0.0145738,0.0367354,0.0390381,0.012585,0.044314,0.0509849,0.0308602,0.0158446,0.0157707,0.0306444,0.0232166,0.00976474,0.024518,0.0123178,0.0181697,0.0281162,0.029106,0.0344941,0.0234139,0.0302701
966,0.0278466,0.0303226,0.0222757,0.0401881,0.0342698,0.0256719,0.0532762,0.0403048,0.0499535,0.0254585,0.00718704,0.039499,0.030383,0.0138651,0.0195161,0.0298739,0.0479317,0.0278339,0.0273492,0.0145836,0.0360979,0.039482,0.0131406,0.0450095,0.0502404,0.0310387,0.0159132,0.0156513,0.0309173,0.0225865,0.0104985,0.0237821,0.0121518,0.0182181,0.0282731,0.0288042,0.0342746,0.0235687,0.0300675
