Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
930,0.0288658,0.0247673,0.0244575,0.0364466,0.0289687,0.0061762,0.0296263,0.0787323,0.0450616,0.0205159,0.00878628,0.038555,0.0469619,0.0157038,0.0216989,0.0269962,0.044266,0.0274124,0.0378174,0.00490351,0.0190123,0.0268029,0.028545,0.0324063,0.0213505,0.0323579,0.00464046,0.0151097,0.0410238,0.0151693,0.0274125,0.0206633,0.0177736,0.0230847,0.0254181,0.0234588,0.0237259,0.0348812,0.0241088
931,0.028591,0.0247267,0.0275829,0.036914,0.0290834,0.00631099,0.0305254,0.0787661,0.0447629,0.0231276,0.00855038,0.0383449,0.0468962,0.0130435,0.0238443,0.0304824,0.0441767,0.0270745,0.0377341,0.00453586,0.0192574,0.0265467,0.0288191,0.0327979,0.0217028,0.0325834,0.00547582,0.0151454,0.0410112,0.0145986,0.0280097,0.0201633,0.0190196,0.0231115,0.0255331,0.0238293,0.0238915,0.0346128,0.0236193
932,0.0284697,0.0245978,0.0283817,0.0369302,0.0292302,0.00624565,0.0314812,0.0785246,0.0444561,0.0235597,0.00933095,0.0379819,0.0467831,0.0105917,0.0253131,0.0324694,0.0443635,0.0267359,0.0376094,0.00382396,0.0195281,0.0261805,0.0290711,0.033216,0.0220457,0.0328452,0.0068598,0.015017,0.0409884,0.0140508,0.0284251,0.0198564,0.0204399,0.0231993,0.0256486,0.024236,0.0241362,0.0345458,0.0231589
933,0.0285478,0.0243642,0.0272824,0.0364862,0.0295071,0.00612742,0.0324159,0.0781659,0.0441904,0.0226027,0.0109799,0.0374468,0.046621,0.00829325,0.0246622,0.0326805,0.0446072,0.0263068,0.0374652,0.0031251,0.0198313,0.0258537,0.0293002,0.0336422,0.0223214,0.033107,0.0087591,0.0147164,0.0410112,0.0136654,0.0286068,0.0198082,0.0223224,0.0233234,0.0257195,0.0246089,0.024409,0.0347825,0.0230694
934,0.0287103,0.0240858,0.0255859,0.0356328,0.0299479,0.00600307,0.0332563,0.0777462,0.0440093,0.0215236,0.0128585,0.0367501,0.0464819,0.00693966,0.0223113,0.0311276,0.0448373,0.025849,0.0373261,0.00248104,0.0200693,0.0256441,0.0294122,0.0340579,0.0224983,0.0331513,0.0111145,0.0143202,0.0411418,0.0136273,0.0286222,0.0200549,0.0245191,0.0234994,0.0257197,0.0248857,0.0245776,0.0353392,0.0229777
935,0.0288283,0.0238651,0.0242811,0.0345186,0.0304965,0.00573945,0.0339365,0.0773089,0.0439495,0.0204454,0.0138787,0.0360031,0.0463527,0.00781257,0.0195999,0.0284741,0.0452166,0.0256382,0.0372206,0.00247088,0.0202031,0.0255641,0.0294196,0.0343929,0.022572,0.033246,0.0138865,0.0140437,0.0413707,0.0140163,0.0283456,0.02053,0.0267199,0.0236927,0.0256926,0.0250514,0.0245828,0.0361184,0.0229095
936,0.028769,0.0238303,0.0235222,0.0333189,0.0310891,0.00525248,0.0343862,0.0767373,0.044016,0.0195333,0.0135836,0.0353337,0.0462029,0.00997147,0.0172256,0.0255373,0.045467,0.0254477,0.037169,0.00330115,0.0202536,0.0255819,0.0293499,0.0346506,0.0225537,0.0334689,0.0168734,0.0140309,0.0416728,0.0147378,0.0277232,0.0211385,0.0287215,0.0238712,0.0256877,0.0251473,0.0243883,0.0369074,0.0228792
937,0.0285612,0.0240316,0.0232309,0.0322375,0.0316555,0.00463814,0.034566,0.0760853,0.0442456,0.0192528,0.0120791,0.0350541,0.0460473,0.0108182,0.0151987,0.0231902,0.0455026,0.0251553,0.037165,0.00460877,0.0203327,0.0256569,0.0292518,0.0348421,0.0224293,0.033604,0.0195684,0.0141486,0.042023,0.0155592,0.0267939,0.0217539,0.0304027,0.0240178,0.0257102,0.0251982,0.0240057,0.0373284,0.0228959
938,0.0283784,0.0244244,0.0231942,0.0314617,0.0321672,0.00406782,0.0344698,0.07535,0.0445876,0.0192919,0.0100084,0.0352988,0.0459162,0.00929466,0.0134915,0.0219026,0.0454094,0.0247134,0.0372242,0.00571419,0.0204898,0.0257742,0.0291505,0.0349248,0.0222326,0.0336507,0.0214765,0.0141326,0.0423226,0.0162842,0.0255469,0.0222357,0.0316424,0.024116,0.0256593,0.0251982,0.0234764,0.0369777,0.0229964
939,0.0283528,0.0249092,0.0233521,0.0312069,0.0325947,0.00356033,0.0340801,0.0745449,0.0449928,0.0194814,0.00798245,0.035852,0.0458621,0.00772559,0.0120713,0.0213945,0.0454894,0.0240781,0.0373105,0.00628775,0.0206883,0.0259392,0.029141,0.0349672,0.021954,0.0336535,0.022102,0.0138349,0.0423958,0.0167903,0.024032,0.0224284,0.0322924,0.0241482,0.0254966,0.0251231,0.0228515,0.0359017,0.0232029
