Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
650,0.0300721,0.032283,0.0182893,0.0303867,0.0220714,0.0267564,0.0294409,0.0390118,0.0503652,0.0206809,0.00466466,0.0404997,0.035945,0.01352,0.0167198,0.030021,0.0501903,0.0306105,0.0291755,0.0144745,0.0334403,0.0197609,0.0147961,0.0226547,0.0515543,0.0313122,0.0143745,0.0137869,0.0267313,0.0245874,0.00622567,0.0221177,0.0119517,0.0204147,0.0284094,0.0288786,0.0328868,0.0243763,0.0221629
651,0.0300546,0.0322752,0.0197445,0.0309647,0.0221595,0.0261252,0.0295061,0.0392781,0.0502385,0.0213367,0.00573358,0.0397463,0.0362251,0.0134829,0.0175837,0.0287631,0.0503125,0.0303847,0.0291562,0.0143684,0.0325531,0.0196392,0.0153217,0.0220405,0.051096,0.0316088,0.0141184,0.0134702,0.027096,0.0236972,0.00675392,0.0213809,0.0119265,0.020313,0.0284859,0.0287912,0.0321397,0.0243724,0.0217708
652,0.0300737,0.0322539,0.0214142,0.0314596,0.0222743,0.0255659,0.0296616,0.0395642,0.050053,0.0227034,0.00692992,0.0390055,0.0366768,0.0136346,0.0182813,0.0285131,0.050363,0.0301599,0.0290052,0.0142924,0.031717,0.0195468,0.0157828,0.0215294,0.0506267,0.0317775,0.0140082,0.0131361,0.027456,0.02274,0.00732936,0.0209256,0.0118607,0.0202319,0.0285701,0.0287271,0.0317745,0.0242373,0.0213126
653,0.0300954,0.032262,0.0234878,0.0317364,0.0223953,0.024916,0.0299328,0.0398936,0.0498538,0.024833,0.00821586,0.038364,0.0369734,0.013988,0.0189379,0.0277051,0.0503553,0.0299032,0.0289854,0.0140717,0.0309488,0.0194774,0.0160933,0.0211511,0.0500952,0.031781,0.014131,0.0128351,0.0278897,0.0217445,0.00794403,0.0209034,0.0118435,0.0201487,0.0286321,0.0286789,0.0314285,0.0240323,0.0210894
654,0.0300873,0.0323182,0.025523,0.0319863,0.0224774,0.0241595,0.0303078,0.0401807,0.0496396,0.0272386,0.00957156,0.0378739,0.0372188,0.0142434,0.0201719,0.0267848,0.0503652,0.0296223,0.0289315,0.0138318,0.0303191,0.0194241,0.0162166,0.0209267,0.0495137,0.0318162,0.0139744,0.012664,0.0281495,0.0208655,0.00855068,0.0213579,0.0118825,0.0200362,0.0287225,0.0285022,0.0309855,0.023932,0.0207086
655,0.0300376,0.0323262,0.0271502,0.032199,0.0227764,0.023378,0.0307864,0.0402582,0.049479,0.0294071,0.0108348,0.0375934,0.0373497,0.014598,0.0218775,0.0265126,0.0504879,0.0293359,0.0289536,0.0136987,0.0298649,0.0193173,0.0163966,0.0208415,0.0488682,0.0318589,0.01355,0.0126298,0.0283626,0.0202351,0.00904547,0.0220684,0.0119467,0.0199026,0.0288641,0.0283409,0.0305015,0.0239816,0.0201128
656,0.0300027,0.0322882,0.0284367,0.032517,0.0230967,0.0226865,0.0313807,0.0399721,0.049437,0.0311223,0.0119187,0.037551,0.0375152,0.0150747,0.0231492,0.0269735,0.0505664,0.029138,0.0291935,0.013685,0.0295942,0.0192033,0.0166325,0.0208822,0.0481762,0.0318988,0.0132908,0.0126224,0.0287785,0.0197677,0.00940119,0.0228135,0.0120406,0.0198017,0.0290465,0.0286982,0.0302814,0.024206,0.0197158
657,0.0300027,0.032183,0.0295037,0.0327923,0.0234195,0.0219714,0.0320933,0.0394685,0.0494759,0.0323408,0.0128873,0.0375337,0.037697,0.0151336,0.0241101,0.0281054,0.0505783,0.0290269,0.0294985,0.013556,0.0294794,0.0191385,0.0168661,0.0210476,0.0474711,0.0319114,0.0132354,0.0126043,0.029216,0.0194807,0.00971019,0.0234235,0.0121648,0.0197192,0.0292554,0.0288313,0.0303591,0.0245274,0.0195365
658,0.0299644,0.032044,0.0301794,0.0330791,0.023718,0.0213416,0.0328722,0.039072,0.0495151,0.0331519,0.013731,0.0374879,0.0377848,0.0152971,0.0248449,0.0296576,0.050533,0.0285877,0.0298181,0.0134309,0.029488,0.0190733,0.01708,0.021336,0.0467497,0.0319223,0.0132691,0.0124934,0.0294032,0.0192948,0.00994176,0.0237338,0.0122736,0.0196632,0.0295164,0.0287486,0.0306322,0.0248947,0.0193425
659,0.0298679,0.0318834,0.030589,0.0333961,0.0240032,0.0207817,0.0336697,0.0390055,0.0495009,0.0337124,0.0144688,0.0374517,0.0378755,0.0157456,0.0253231,0.0313727,0.0504413,0.0272598,0.0302304,0.0132875,0.0295788,0.0189668,0.0172787,0.0217053,0.0460065,0.0319195,0.0133041,0.0123226,0.0294798,0.0192095,0.00972545,0.0237093,0.0123256,0.0196847,0.0297714,0.0287591,0.0310482,0.0252255,0.0191227
