Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
978,0.0269909,0.0278869,0.0157256,0.0321605,0.0244038,0.0279344,0.0406463,0.0297224,0.0419797,0.0125988,0.0169779,0.041104,0.0298988,0.0272333,0.0200122,0.0213623,0.043138,0.031671,0.0268865,0.0230144,0.0390257,0.0373869,0.0246824,0.0178828,0.0310792,0.0501829,0.0334154,0.0232066,0.0106234,0.0382102,0.0308325,0.0154505,0.0192807,0.0247463,0.0243403,0.021482,0.0263059,0.032551,0.0324937
979,0.0269005,0.0277571,0.0154642,0.0322181,0.0245939,0.0283616,0.0418507,0.0278526,0.0409754,0.0123391,0.0170313,0.0407919,0.0297726,0.0282459,0.02018,0.0211037,0.0427508,0.0316145,0.0263051,0.0228787,0.038951,0.0376076,0.024612,0.0175733,0.0323428,0.0494506,0.0332319,0.0226907,0.0100183,0.0382516,0.0313654,0.0149631,0.0197844,0.0240544,0.0240958,0.0211354,0.026834,0.0324039,0.0336393
980,0.0268911,0.0277167,0.0152345,0.0323094,0.0247283,0.0285947,0.0428757,0.0264672,0.0399768,0.012238,0.0170592,0.0408323,0.0296849,0.0290924,0.0202522,0.0207817,0.0422082,0.0316256,0.0259339,0.0223999,0.0388878,0.0378375,0.0245784,0.0171067,0.033424,0.0489442,0.0329595,0.0220596,0.0091202,0.0380997,0.0318745,0.0142605,0.0205764,0.023371,0.0237673,0.0208598,0.0272767,0.0322407,0.0346167
981,0.0270043,0.0277664,0.0150785,0.0323546,0.0249031,0.0286735,0.043743,0.0255552,0.0390108,0.0121637,0.0171235,0.0409757,0.0296337,0.0296512,0.0202516,0.0204724,0.0416,0.031647,0.0257243,0.0215594,0.0389295,0.0381101,0.0246095,0.0165176,0.0343556,0.0482116,0.0326227,0.0212819,0.00805205,0.0377629,0.0322124,0.0133526,0.0213655,0.0222929,0.0233861,0.0206257,0.0276499,0.032145,0.0353834
982,0.0271968,0.0278443,0.0149533,0.0323168,0.0250205,0.0286473,0.0444496,0.0250133,0.0382358,0.0121093,0.0171778,0.0411954,0.0296586,0.0300726,0.0201705,0.0203865,0.0408877,0.0317513,0.0256864,0.0203616,0.0388712,0.0384078,0.0246861,0.0158386,0.0351265,0.0475399,0.0322189,0.0203192,0.00718647,0.037545,0.0325551,0.0123135,0.0223943,0.0207653,0.022987,0.0204522,0.028067,0.0321378,0.035931
983,0.0274596,0.0279802,0.0148429,0.0322776,0.0251512,0.0285729,0.0450129,0.024741,0.0376497,0.0120653,0.0171812,0.0414774,0.0297661,0.0302884,0.0200542,0.0205607,0.0400281,0.0319088,0.0258388,0.018878,0.0387207,0.0387176,0.0247832,0.0151175,0.0357248,0.0470739,0.0317624,0.0191748,0.00699129,0.0374053,0.0330641,0.0113165,0.0232904,0.0186842,0.0225981,0.0203395,0.0284584,0.0322488,0.0363894
984,0.0277854,0.0281476,0.0147279,0.032259,0.0252373,0.0284668,0.0454265,0.0246814,0.0370807,0.0119873,0.0171803,0.0418616,0.0299603,0.0304255,0.020077,0.0207807,0.039136,0.0320663,0.0260935,0.0171625,0.0385185,0.0390664,0.0248504,0.0143704,0.0361264,0.0470216,0.0312807,0.0175813,0.0077954,0.0372655,0.0333718,0.0106286,0.0241256,0.0161113,0.0221575,0.0203609,0.0288577,0.0324295,0.0368635
985,0.0281423,0.0282882,0.0145349,0.03219,0.0252865,0.0282986,0.0457118,0.0247685,0.0366159,0.0118701,0.0172991,0.0423298,0.0302305,0.0304178,0.0201648,0.0209949,0.0382068,0.0321671,0.0264034,0.0152488,0.0382266,0.0393885,0.0249373,0.013609,0.0363472,0.0470727,0.0307382,0.0158065,0.00974073,0.0370857,0.0337588,0.0105527,0.0249563,0.0135228,0.0217422,0.0204305,0.0292523,0.0326192,0.0374048
986,0.0285224,0.0283105,0.0143004,0.0320862,0.0252997,0.0280953,0.0458168,0.024953,0.036141,0.0113184,0.0174667,0.0427859,0.0305669,0.0302932,0.0201998,0.0212774,0.0372516,0.0323118,0.0267184,0.0130269,0.0378648,0.0396829,0.0250413,0.0128769,0.0363736,0.0473209,0.0301802,0.0136614,0.0124719,0.0368962,0.0341888,0.0112264,0.0259385,0.0117614,0.0215006,0.0202708,0.0295843,0.0328481,0.0380017
987,0.0289092,0.0282401,0.0141154,0.0320402,0.0252918,0.0278736,0.0457026,0.0251836,0.0357711,0.0107455,0.017651,0.0431704,0.0309847,0.0302589,0.0201724,0.0216592,0.0362801,0.0325151,0.0270341,0.0102411,0.0374741,0.0399868,0.025151,0.0121912,0.0361651,0.047798,0.029627,0.0109322,0.015539,0.0367582,0.0347557,0.0125957,0.027491,0.0111859,0.021464,0.0201025,0.0298671,0.033055,0.0386627
