Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
261,0.0229195,0.0250076,0.0287942,0.0392661,0.039916,0.0249906,0.0650444,0.0332934,0.024489,0.0212509,0.0166851,0.0375178,0.0395074,0.0164664,0.0127256,0.0366016,0.011402,0.0308497,0.0281889,0.0219501,0.0432685,0.0346305,0.0384792,0.0341682,0.0574716,0.0213363,0.0292681,0.031847,0.0127564,0.0363276,0.0167672,0.0164672,0.0260223,0.0408975,0.0294001,0.0243308,0.0245578,0.0292556,0.038644
262,0.0246817,0.0250544,0.028388,0.0392789,0.0408886,0.0254758,0.0659304,0.033685,0.0248525,0.0208072,0.0164808,0.0382654,0.0390777,0.0169663,0.0129738,0.0364857,0.011764,0.0313487,0.0286087,0.0227409,0.0434091,0.0371074,0.0377845,0.0338714,0.0572603,0.0215941,0.0289926,0.0315572,0.0132364,0.0365222,0.0185953,0.0159125,0.0263156,0.0406537,0.0298252,0.0247481,0.0245139,0.0284828,0.0388609
263,0.026464,0.0251864,0.027631,0.0392377,0.0417959,0.0263935,0.0664893,0.0338389,0.0252555,0.0202523,0.0159314,0.0390003,0.0384026,0.0173709,0.012818,0.0362381,0.0117928,0.031738,0.0289521,0.0235059,0.0436619,0.0393556,0.0369017,0.0335024,0.0568784,0.0217709,0.0285689,0.0313294,0.0137034,0.0364264,0.0205315,0.0150502,0.0264818,0.0407253,0.0301826,0.0249223,0.0242423,0.0276292,0.0391928
264,0.0274835,0.0250627,0.0268337,0.0389413,0.0423191,0.0273883,0.0667552,0.0338064,0.0257138,0.0198865,0.0149247,0.039618,0.0375716,0.0175628,0.0123064,0.0361722,0.0115208,0.0320295,0.0292051,0.0244724,0.043763,0.0414938,0.0358908,0.0330488,0.0562256,0.0218214,0.0280828,0.0310983,0.0141409,0.0363732,0.0224095,0.0138386,0.0263784,0.0401176,0.0303885,0.0245561,0.0238287,0.0266193,0.0391151
265,0.0275707,0.0245937,0.0258005,0.0384154,0.0424909,0.0284199,0.0667387,0.0337442,0.0262129,0.0193743,0.0135414,0.0394835,0.0366239,0.0174642,0.0118065,0.0360712,0.0111433,0.0322287,0.0294023,0.0254863,0.043652,0.0439024,0.0347814,0.0325234,0.055437,0.0219216,0.0275677,0.0307671,0.0145231,0.0364851,0.0241689,0.0122772,0.026215,0.0389574,0.0303971,0.0238464,0.0234173,0.0255114,0.038613
266,0.0272696,0.0239299,0.0244679,0.0377447,0.0426647,0.0294885,0.0664746,0.033622,0.0266978,0.0187682,0.0121174,0.0389709,0.0355429,0.017226,0.0115395,0.0358708,0.010822,0.0323601,0.02956,0.0262739,0.0437157,0.0462604,0.0335503,0.0319146,0.0545424,0.0217311,0.0270566,0.0303612,0.0147088,0.0365439,0.0257758,0.0105089,0.0259551,0.0372035,0.0302431,0.0238874,0.0230367,0.0243915,0.0379506
267,0.0271864,0.0232906,0.0229622,0.0370386,0.0428188,0.0305157,0.0659822,0.0334332,0.0271186,0.0183084,0.0108759,0.0383069,0.0343125,0.017143,0.0109249,0.0359325,0.0105259,0.0324488,0.0296818,0.0267006,0.0439749,0.0485118,0.0321622,0.0312574,0.0535607,0.0213224,0.0265785,0.029795,0.0145636,0.0365244,0.0272539,0.00875489,0.0255484,0.0348819,0.0299991,0.0239979,0.0227119,0.0234612,0.037223
268,0.0274089,0.0227974,0.0213149,0.0364195,0.0427366,0.031465,0.0652626,0.0332036,0.0274961,0.0178376,0.00990888,0.0377805,0.0330584,0.0170344,0.0105108,0.0362786,0.0103235,0.0324867,0.0297511,0.0267601,0.0444527,0.0507514,0.0306983,0.0305988,0.0523911,0.0208023,0.0261397,0.0289601,0.0140774,0.0367142,0.028648,0.00738429,0.0249718,0.0317859,0.0297364,0.023949,0.0224275,0.0230798,0.0364407
269,0.0277528,0.0224614,0.0194865,0.0359654,0.0424188,0.032294,0.0643361,0.0329738,0.0278218,0.0175129,0.00923082,0.0374234,0.0317231,0.0169365,0.0105,0.0365245,0.0103035,0.0325028,0.0297553,0.0262584,0.0451709,0.0530536,0.029244,0.0300232,0.050965,0.0202317,0.0257512,0.0279967,0.0132138,0.0367699,0.0298908,0.00680073,0.0242349,0.0280633,0.029554,0.0238416,0.0222448,0.0230328,0.0356093
270,0.0279889,0.0223098,0.0175456,0.0357485,0.0420956,0.0330246,0.0632442,0.0328301,0.0280448,0.0174157,0.00876329,0.0372941,0.0303489,0.0169061,0.0106154,0.0368958,0.0104862,0.0325433,0.0296756,0.0252165,0.0460831,0.0553653,0.0278503,0.0296021,0.0493432,0.0195124,0.0254753,0.0268708,0.0119957,0.0366558,0.0309208,0.00714655,0.0234085,0.0242893,0.0296077,0.0236907,0.0221837,0.0232673,0.0347716
